,MAE,SMAPE,RMSE
m3_yearly_dataset.tsf_T16.csv,296.1097668906552,4.978302777496489,358.64247276191503
m3_yearly_dataset.tsf_T593.csv,329.1920723694235,3.7941304875768482,408.732722036537
m3_yearly_dataset.tsf_T587.csv,82.74659493576546,1.2940814629892694,99.43901364695735
m3_yearly_dataset.tsf_T578.csv,119.2075184601481,2.4952937208756483,125.1867283036045
m3_yearly_dataset.tsf_T236.csv,320.31700557502944,12.062491050776352,445.4163932935771
m3_yearly_dataset.tsf_T550.csv,1149.477749488386,21.666303144812318,1552.6426352785243
m3_yearly_dataset.tsf_T544.csv,149.048773344669,11.916972460358938,151.8812628360452
m3_yearly_dataset.tsf_T222.csv,144.904937564898,8.644108269529124,161.88362782625325
m3_yearly_dataset.tsf_T552.csv,413.27022829121836,5.632694877164717,501.8992067792618
m3_yearly_dataset.tsf_T234.csv,582.8710877041589,17.95324769524282,750.4444712141275
m3_yearly_dataset.tsf_T220.csv,167.20081728292143,10.209562900083643,200.3731799227875
m3_yearly_dataset.tsf_T546.csv,444.1887676475373,14.056088326971704,560.064608283569
m3_yearly_dataset.tsf_T208.csv,65.46974557466392,2.9004179889710704,91.6740509263182
m3_yearly_dataset.tsf_T591.csv,135.0494308903555,2.041576421675427,150.61846159911147
m3_yearly_dataset.tsf_T585.csv,108.5891721637594,3.9658432566095696,142.85119087927166
m3_yearly_dataset.tsf_T28.csv,182.68231609883588,4.077973088825962,211.93368180565759
m3_yearly_dataset.tsf_T14.csv,191.40434567227948,2.717576350929863,213.85091973855668
m3_yearly_dataset.tsf_T142.csv,576.2708780346356,7.7691017369120585,696.8859111162662
m3_yearly_dataset.tsf_T624.csv,377.9427776716451,6.187491526430007,531.9141970076705
m3_yearly_dataset.tsf_T630.csv,136.35974757637305,2.347408317524891,195.68557443079408
m3_yearly_dataset.tsf_T156.csv,161.6560358163202,2.366718689126457,200.440438549397
m3_yearly_dataset.tsf_T618.csv,108.73574830794932,2.059594555879726,118.61289466552809
m3_yearly_dataset.tsf_T181.csv,1225.008804497655,18.14381791330299,1505.628627126141
m3_yearly_dataset.tsf_T195.csv,187.0877571001456,4.887812305106911,197.9940432936098
m3_yearly_dataset.tsf_T426.csv,33.54966734523278,0.6472754054978173,41.12218817698962
m3_yearly_dataset.tsf_T340.csv,932.207536637369,18.806059647067066,1167.833725345426
m3_yearly_dataset.tsf_T354.csv,2475.4680418457365,60.95177083299277,3447.7366845637166
m3_yearly_dataset.tsf_T432.csv,121.21697954814599,5.1683707040342295,142.96954883706354
m3_yearly_dataset.tsf_T368.csv,268.97576105049086,6.923198951866053,295.2974502097305
m3_yearly_dataset.tsf_T383.csv,161.9909567681496,2.897057022937304,189.30777069006027
m3_yearly_dataset.tsf_T397.csv,113.60212602260745,9.092574861892732,128.72672902048336
m3_yearly_dataset.tsf_T396.csv,562.0452774933634,10.228648431979108,702.1392727359903
m3_yearly_dataset.tsf_T382.csv,227.14866942316712,5.0809762052223855,262.8050810428702
m3_yearly_dataset.tsf_T369.csv,190.22336021391067,5.752337190435797,206.01288379504385
m3_yearly_dataset.tsf_T355.csv,2655.601072664479,34.860802712012315,3080.6458795030935
m3_yearly_dataset.tsf_T433.csv,125.63941239494507,1.8760428672915956,146.96027142096796
m3_yearly_dataset.tsf_T427.csv,133.2831879787165,2.4816700364654114,141.0257983379873
m3_yearly_dataset.tsf_T341.csv,956.5758320750007,12.349235268177226,1195.7115668653423
m3_yearly_dataset.tsf_T194.csv,756.4068239057167,8.69592631462832,840.8871049352339
m3_yearly_dataset.tsf_T180.csv,1208.1365893450522,16.897421991891523,1274.8151096829959
m3_yearly_dataset.tsf_T619.csv,54.476933522809304,0.8259594979816388,64.40905993672617
m3_yearly_dataset.tsf_T631.csv,362.4201216590124,8.996186425470272,432.60660956920043
m3_yearly_dataset.tsf_T157.csv,338.83888151156845,4.486541056842795,422.2549112805416
m3_yearly_dataset.tsf_T143.csv,742.572041576885,20.50134675609265,819.1248345056188
m3_yearly_dataset.tsf_T625.csv,545.7205981685742,26.358354464885583,634.0359914688457
m3_yearly_dataset.tsf_T15.csv,508.48311326702753,7.752896587196415,874.6711921903021
m3_yearly_dataset.tsf_T29.csv,244.73920378746078,3.2216795947259995,312.7574953155584
m3_yearly_dataset.tsf_T584.csv,96.88357926695362,3.303898057878752,121.85188454947571
m3_yearly_dataset.tsf_T590.csv,145.2990071642238,1.9698325487326875,185.42461012881373
m3_yearly_dataset.tsf_T209.csv,180.63426967217183,2.1958665635012653,248.98971599847368
m3_yearly_dataset.tsf_T221.csv,1393.6068693910197,24.891535944886105,1680.0539786786476
m3_yearly_dataset.tsf_T547.csv,364.37851298555614,7.447962622432311,384.0517077770721
m3_yearly_dataset.tsf_T553.csv,364.3008479860926,6.115407690848031,428.7088821910432
m3_yearly_dataset.tsf_T235.csv,240.67574880499123,4.744830046231275,265.2778659188259
m3_yearly_dataset.tsf_T219.csv,1975.356797584213,35.03678417086506,2192.3842608579166
m3_yearly_dataset.tsf_T231.csv,473.11824493838884,7.064752461676441,592.7808682985429
m3_yearly_dataset.tsf_T557.csv,1420.8894729271992,19.97248785092275,1659.1649229223133
