,y,zhan,zhang,mao,arima
51,5439.0,5449.22314329312,5447.294117647059,5446.722222222223,5446.261936614823
52,5439.0,5450.552636991116,5448.833333333333,5448.315789473684,5448.672025283682
53,5443.0,5449.456431562489,5448.315789473684,5447.85,5447.845643721327
54,5444.0,5453.523481174848,5452.05,5451.619047619048,5452.952413519185
55,5435.0,5453.104538659239,5445.0,5444.5,5452.844203557808
56,5432.0,5442.8593386925495,5442.863636363636,5442.521739130435,5440.2510070333265
57,5433.0,5439.077017360911,5439.391304347826,5439.083333333333,5438.918173419043
58,5432.0,5440.289778524281,5440.125,5439.84,5441.09334985249
59,5484.0,5438.963716905871,5438.8,5438.538461538462,5439.235304850101
60,5506.0,5495.88388648797,5492.538461538462,5492.222222222223,5508.695622695351
61,5491.0,5518.507762974813,5515.037037037037,5514.714285714285,5521.29254676752
62,5511.0,5499.474208346322,5494.5,5493.333333333333,5494.84348903139
63,5519.0,5521.359220769163,5513.5,5512.666666666667,5525.243311186087
64,5524.0,5529.131617931131,5523.333333333333,5522.25,5529.837802926645
65,5523.0,5533.805350298114,5528.5,5527.6,5533.923717391387
66,5532.0,5531.927820843298,5526.4,5525.833333333333,5531.0763566576625
67,5537.0,5541.037205773817,5536.333333333333,5535.714285714285,5542.883140550525
68,5550.0,5545.909665313256,5541.428571428572,5540.875,5546.68425902192
69,5572.0,5559.628869686629,5558.228571428572,5558.0,5561.963757406291
70,5597.0,5582.67632761271,5580.611111111111,5580.378378378378,5586.608997235195
71,5617.0,5608.809538005402,5606.054054054054,5605.815789473684,5612.6351601820115
72,5652.0,5629.307209891023,5626.3421052631575,5626.102564102564,5631.291242550604
73,5683.0,5666.346613225292,5662.0,5661.75,5670.979839983274
74,5719.0,5698.56816175488,5693.525,5693.268292682927,5701.15230122837
75,5740.0,5736.267857713409,5730.1463414634145,5729.880952380952,5739.168102754783
76,5744.0,5756.915840523822,5761.0,5750.5,5755.4654920041985
77,5765.0,5759.410730315896,5756.5,5752.333333333333,5753.998310832066
78,5769.0,5780.529864589875,5780.333333333333,5776.5,5780.403437959815
79,5759.0,5783.532471825129,5781.5,5779.0,5779.0565124835975
80,5799.0,5771.360865812502,5767.0,5765.666666666667,5764.404810932848
81,5837.0,5813.5727596828765,5812.333333333333,5810.428571428572,5819.612640033259
82,5860.0,5852.929582521638,5853.857142857143,5851.75,5857.649824917196
83,5863.0,5876.20459542549,5876.090909090909,5875.391304347826,5876.197752434838
84,5854.0,5878.120727733366,5878.521739130435,5877.875,5873.059039147744
85,5851.0,5867.092949056904,5868.5,5867.92,5860.133532773819
86,5848.0,5863.117270677929,5864.8,5864.2692307692305,5858.752873815453
87,5838.0,5859.218957672644,5861.153846153846,5860.666666666667,5855.548828347798
88,5858.0,5846.23630267377,5828.0,5833.0,5842.9448726137225
89,5852.0,5868.995724145087,5870.571428571428,5870.137931034483,5872.785663079435
90,5874.0,5859.603758134663,5846.0,5849.0,5858.482278493594
91,5875.0,5884.812745441578,5882.0,5879.333333333333,5889.223980503599
92,5883.0,5883.889517545596,5876.0,5875.5,5883.815620163355
93,5881.0,5893.028515926885,5887.5,5886.0,5893.880575280077
94,5895.0,5889.18633578345,5883.333333333333,5882.75,5888.761688479354
95,5921.0,5904.806408442816,5900.25,5899.2,5907.592045385585
96,5929.0,5932.27568768321,5932.857142857143,5932.527777777777,5937.281469405695
97,5963.0,5939.888551150425,5940.75,5940.4324324324325,5939.8804748836965
98,5986.0,5975.430386791477,5973.953125,5973.784615384616,5981.650645961473
99,5995.0,5998.985713872604,5998.631578947368,5998.307692307692,6001.533888262909
100,5991.0,6007.4489619582555,6002.941176470588,6002.5,6006.381120632012
